id	filename	md5	size	state
a573e17b-63d5-443d-9c33-615d58577b60	TCGA-LGG.128f2267-141a-4664-a560-8a50ae8181dd.gene_level_copy_number.v36.tsv	2dc408f4fbbad6f26ef0c06a54f6c35b	3446868	released
ef03b7ea-6839-41b8-bd67-3c6e4fb30464	TCGA-LGG.f19df347-e09f-4b54-b4ce-ab7158d6e2b8.gene_level_copy_number.v36.tsv	ec4402553cd51d54ae64e90caad016b3	3446746	released
b490e43d-5795-46f0-a546-693625280835	TCGA-LGG.0c60c363-e355-40a6-ae00-572f8ac3c2ff.gene_level_copy_number.v36.tsv	7a7a3d7f3c5771914457d587788bbc76	3446890	released
9ebdf1b9-2a9e-4161-9305-8dec5ebb297d	TCGA-LGG.d9f14efd-cdcd-48e9-a447-8565fb77659e.gene_level_copy_number.v36.tsv	4afd444cf9a15feee542b10056cfe93b	3447110	released
3c83f0e2-27b5-4dcd-96a5-b6e50b1648a2	TCGA-LGG.f1dadf05-cdff-4900-8613-3edbd194c0bd.gene_level_copy_number.v36.tsv	e941da106ff7005dcb4c05db444e4c26	3447285	released
6370ea80-13e1-4698-a164-3bd750761fb8	TCGA-LGG.4b3be970-776c-4e70-91db-c2d94d1d2654.gene_level_copy_number.v36.tsv	f4550198fdcec52722e4ddd4ff0a25db	3446865	released
64c80039-2d1b-4134-b95d-25eef9a73c19	TCGA-LGG.f04c8ea1-9cf9-4480-a248-da95d5559737.gene_level_copy_number.v36.tsv	8a973ad316886f811794795a6b5be04f	3447192	released
6f6da789-bdc2-4e5f-bb83-4c95f23f538b	TCGA-LGG.211a51e7-f575-49a9-9f2e-f45686534e50.gene_level_copy_number.v36.tsv	cefc2b1490273fa33dd1581c5cda2c82	3446825	released
c9d00678-687b-4653-8e38-fc82d4db428f	TCGA-LGG.b2a13743-93d1-4dee-9f75-45871e5497f8.gene_level_copy_number.v36.tsv	6f057eef09c92a257d1cfbd6e07a6c31	3446837	released
153009ca-2ca4-4c71-998c-31a2f7c8c306	TCGA-LGG.25ac8c12-db63-46e5-8ed4-00e60639b9e4.gene_level_copy_number.v36.tsv	8d96805c83212cb0e77d851075961736	3446864	released
81028d1e-7b7f-4711-8c59-e58e8df4eebe	TCGA-LGG.24788f8f-a17d-4b14-add2-18dc84cff50c.gene_level_copy_number.v36.tsv	ccb6048221baeea8e2efabe4d8c85a76	3447164	released
c98fbfa9-b11a-497b-8961-4e45626986e6	TCGA-LGG.fea77dc3-bfac-4892-84d1-d3871866ac62.gene_level_copy_number.v36.tsv	68a29119c93c3c7c5ab81a2027b38126	3446877	released
5230a48b-81fb-4db5-99e6-3e67663d75f5	TCGA-LGG.410f5db9-0195-4a12-80ae-25a3d1b13663.gene_level_copy_number.v36.tsv	c933a1d3e1047edaa42319cbae466d63	3446856	released
a3a02901-a40e-40cd-8a5a-9faceaa18c8a	TCGA-LGG.223008c4-e582-4a6b-b1d5-ab524986b1cb.gene_level_copy_number.v36.tsv	12fb6dfef76ff99d9bad5928d256f0ac	3446838	released
b0ba0519-393e-4acb-beee-e3ed6ed68d86	TCGA-LGG.d7936572-15db-4ffc-ad0c-aaf84545a932.gene_level_copy_number.v36.tsv	c59a37aa7991f2255fec5817c13f4e29	3446834	released
026641be-9f11-4a27-83f5-3a470b75aa7f	TCGA-LGG.fff8ae21-ca7b-4d3a-9cfc-005c5afe98a7.gene_level_copy_number.v36.tsv	d0fe99c77e764e61612ba39b7b37b493	3446738	released
f7984739-4011-4365-aca5-fe3dda7f8f2b	TCGA-LGG.a294e02f-fccf-4b91-aec9-462a8ba6c744.gene_level_copy_number.v36.tsv	093903de08ae1925be6a4e7ceed35505	3446864	released
818c84de-cd40-491e-a961-d585c380d9ad	TCGA-LGG.c2bdcdb3-8d32-4eb0-8610-46086199ab67.gene_level_copy_number.v36.tsv	beec68f0b35974f97cfaf4144b67d309	3446840	released
da2d6aa3-293a-477f-8ae2-31decf761061	TCGA-LGG.9fd726e2-abe2-49ce-8fc4-f878c0220971.gene_level_copy_number.v36.tsv	0aa8c64f4712f19691c6d133ea6469c3	3446864	released
c3233d85-6475-4d12-b0c5-5f7cc86083a8	TCGA-LGG.4367d26e-3dd3-4327-bc4e-583fba9e964b.gene_level_copy_number.v36.tsv	d4b66b997eb6722abd2b15aab6802842	3446872	released
a9b2ef89-5276-4e1e-ab79-57bd36d40d35	TCGA-LGG.10521ef9-eddc-4dc3-9738-19f2b0f9371a.gene_level_copy_number.v36.tsv	24513718e93a201a3831f6c5d503d709	3446841	released
89dfa144-4bd6-4899-a5fa-f54e1328cb86	TCGA-LGG.d94092e8-2e3c-421b-b08c-ba74c16953b0.gene_level_copy_number.v36.tsv	465351d2e24e351360bdbb02873d2289	3446582	released
85b15f33-baaf-4871-a89b-36601ba0255b	TCGA-LGG.a321b2f3-953b-4216-abcf-faca192d5047.gene_level_copy_number.v36.tsv	34e055b9f3640b67a610c269d1f51e45	3446740	released
